Location,Count Date,Day,24 Hr. Total Vol.,location1
ANAHEIM AND PUENTE ROAD W/O AZUSA AVENUE,07/23/2008 12:00:00 AM,Wed,4651,"ANAHEIM AND PUENTE ROAD W/O AZUSA AVENUE, california
(34.090064, -117.559494)"
PASS AND COVINA ROAD N/O ALWOOD STREET,10/18/2011 12:00:00 AM,Tue,1590,"PASS AND COVINA ROAD N/O ALWOOD STREET, california
(34.048893, -117.922824)"
PASS AND COVINA ROAD S/O ALWOOD STREET,10/18/2011 12:00:00 AM,Tue,1753,"PASS AND COVINA ROAD S/O ALWOOD STREET, california
(34.048893, -117.922824)"
EAST FORK ROAD E/O SAN GABRIEL CANYON ROAD,12/21/2016 12:00:00 AM,Wed,328,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/01/2017 12:00:00 AM,Sun,172,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/02/2017 12:00:00 AM,Mon,300,
GEMBROOK AVENUE S/O PALM AVENUE,01/03/2017 12:00:00 AM,Tue,217,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/03/2017 12:00:00 AM,Tue,855,
PALM AVENUE W/O GEMBROOK AVENUE,01/03/2017 12:00:00 AM,Tue,939,
MCBRIDE AVENUE N/O OLYMPIC BOULEVARD,01/03/2017 12:00:00 AM,Tue,1978,
GALE AVENUE W/O LATCHFORD AVENUE,01/03/2017 12:00:00 AM,Tue,19041,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/04/2017 12:00:00 AM,Wed,2159,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/05/2017 12:00:00 AM,Thu,2482,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/06/2017 12:00:00 AM,Fri,2129,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/07/2017 12:00:00 AM,Sat,489,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/08/2017 12:00:00 AM,Sun,297,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/09/2017 12:00:00 AM,Mon,1979,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/10/2017 12:00:00 AM,Tue,2400,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/11/2017 12:00:00 AM,Wed,2290,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/12/2017 12:00:00 AM,Thu,2062,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/13/2017 12:00:00 AM,Fri,2471,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/14/2017 12:00:00 AM,Sat,339,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/15/2017 12:00:00 AM,Sun,234,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/16/2017 12:00:00 AM,Mon,285,
ELMROCK AVENUE S/O GOLDEN LANTERN LANE,01/17/2017 12:00:00 AM,Tue,634,
REIS STREET E/O HAWKSTONE AVENUE,01/17/2017 12:00:00 AM,Tue,819,
AMBER VALLEY DRIVE E/O BREEZEWOOD AVENUE,01/17/2017 12:00:00 AM,Tue,889,
GROVEDALE DRIVE S/O GOLDEN LANTERN LANE,01/17/2017 12:00:00 AM,Tue,893,
GROVEDALE DRIVE S/O WHITESPRING DRIVE,01/17/2017 12:00:00 AM,Tue,947,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/17/2017 12:00:00 AM,Tue,2167,
BEXLEY DRIVE E/O MILNA AVENUE,01/17/2017 12:00:00 AM,Tue,2827,
CALMADA AVENUE N/O MULBERRY DRIVE,01/17/2017 12:00:00 AM,Tue,5113,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/18/2017 12:00:00 AM,Wed,2239,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/19/2017 12:00:00 AM,Thu,3427,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/20/2017 12:00:00 AM,Fri,2222,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/21/2017 12:00:00 AM,Sat,438,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/22/2017 12:00:00 AM,Sun,90,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/23/2017 12:00:00 AM,Mon,2095,
WILTON PLACE N/O 104TH STREET,01/24/2017 12:00:00 AM,Tue,777,
DALEROSE AVENUE S/O CENTURY BOULEVARD,01/24/2017 12:00:00 AM,Tue,973,
107TH STREET E/O WESTERN AVENUE,01/24/2017 12:00:00 AM,Tue,1129,
107TH STREET W/O DENKER AVENUE,01/24/2017 12:00:00 AM,Tue,1132,
CHADRON AVENUE N/O MARINE AVENUE,01/24/2017 12:00:00 AM,Tue,1151,
WILTON PLACE S/O CENTURY BOULEVARD,01/24/2017 12:00:00 AM,Tue,1178,
ISIS AVENUE N/O 123RD STREET,01/24/2017 12:00:00 AM,Tue,1745,
ISIS AVENUE S/O 123RD STREET,01/24/2017 12:00:00 AM,Tue,1898,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/24/2017 12:00:00 AM,Tue,2240,
REDONDO BEACH BOULEVARD W/O CRENSHAW BOULEVARD,01/24/2017 12:00:00 AM,Tue,24587,
RANCHO LOS CERRITOS ROAD E/O RANCHO DEL MONICO ROAD,01/25/2017 12:00:00 AM,Wed,395,
RANCHO LA CARLOTA ROAD W/O RANCHO DEL MONICO ROAD,01/25/2017 12:00:00 AM,Wed,441,
HURST STREET W/O LINDA TERRACE,01/25/2017 12:00:00 AM,Wed,496,
DONNA BETH AVENUE S/O RENWICK ROAD,01/25/2017 12:00:00 AM,Wed,2176,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/25/2017 12:00:00 AM,Wed,2251,
LOS ROBLES AVENUE W/O DEERHAVEN DRIVE,01/25/2017 12:00:00 AM,Wed,5521,
TERRACE STREET W/O FAIR OAKS AVENUE,01/26/2017 12:00:00 AM,Thu,266,
MENDOCINO STREET E/O LINCOLN AVENUE,01/26/2017 12:00:00 AM,Thu,314,
MANOR STREET E/O GLENROSE AVENUE,01/26/2017 12:00:00 AM,Thu,393,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/26/2017 12:00:00 AM,Thu,440,
CASITAS AVENUE S/O MOUNTAIN VIEW STREET,01/26/2017 12:00:00 AM,Thu,1033,
GLENROSE AVENUE N/O PINE STREET,01/26/2017 12:00:00 AM,Thu,1261,
FIGUEROA DRIVE E/O CASITAS AVENUE,01/26/2017 12:00:00 AM,Thu,2371,
EXPLORER ROAD N/O WINDSOR AVENUE,01/26/2017 12:00:00 AM,Thu,3492,
VENTURA STREET E/O WINDSOR AVENUE,01/26/2017 12:00:00 AM,Thu,6852,
WINDSOR AVENUE S/O VENTURA STREET,01/26/2017 12:00:00 AM,Thu,8409,
FIELDBROOK STREET S/O YELLOWBLUFF PLACE,01/27/2017 12:00:00 AM,Fri,164,
ALDERBURY DRIVE S/O KLUM PLACE,01/27/2017 12:00:00 AM,Fri,256,
FIELDBROOK STREET N/O YELLOWBLUFF PLACE,01/27/2017 12:00:00 AM,Fri,296,
MANOR STREET E/O GLENROSE AVENUE,01/27/2017 12:00:00 AM,Fri,385,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/27/2017 12:00:00 AM,Fri,463,
KLUM PLACE W/O ALDERBURY DRIVE,01/27/2017 12:00:00 AM,Fri,543,
MOON VIEW DRIVE S/O ROYAL VIEW ROAD,01/27/2017 12:00:00 AM,Fri,712,
ALDERBURY DRIVE W/O BLANDFORD DRIVE,01/27/2017 12:00:00 AM,Fri,821,
GLENROSE AVENUE N/O PINE STREET,01/27/2017 12:00:00 AM,Fri,1316,
ROYAL VIEW ROAD E/O MOON VIEW DRIVE,01/27/2017 12:00:00 AM,Fri,1672,
ROYAL VIEW ROAD E/O COUNTRYWOOD AVENUE,01/27/2017 12:00:00 AM,Fri,1715,
FIELDBROOK STREET S/O YELLOWBLUFF PLACE,01/28/2017 12:00:00 AM,Sat,157,
ALDERBURY DRIVE S/O KLUM PLACE,01/28/2017 12:00:00 AM,Sat,225,
FIELDBROOK STREET N/O YELLOWBLUFF PLACE,01/28/2017 12:00:00 AM,Sat,253,
MANOR STREET E/O GLENROSE AVENUE,01/28/2017 12:00:00 AM,Sat,367,
KLUM PLACE W/O ALDERBURY DRIVE,01/28/2017 12:00:00 AM,Sat,471,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/28/2017 12:00:00 AM,Sat,506,
MOON VIEW DRIVE S/O ROYAL VIEW ROAD,01/28/2017 12:00:00 AM,Sat,703,
ALDERBURY DRIVE W/O BLANDFORD DRIVE,01/28/2017 12:00:00 AM,Sat,747,
GLENROSE AVENUE N/O PINE STREET,01/28/2017 12:00:00 AM,Sat,1080,
ROYAL VIEW ROAD E/O COUNTRYWOOD AVENUE,01/28/2017 12:00:00 AM,Sat,2095,
ROYAL VIEW ROAD E/O MOON VIEW DRIVE,01/28/2017 12:00:00 AM,Sat,2118,
ALDERBURY DRIVE S/O KLUM PLACE,01/29/2017 12:00:00 AM,Sun,149,
FIELDBROOK STREET S/O YELLOWBLUFF PLACE,01/29/2017 12:00:00 AM,Sun,150,
FIELDBROOK STREET N/O YELLOWBLUFF PLACE,01/29/2017 12:00:00 AM,Sun,275,
MANOR STREET E/O GLENROSE AVENUE,01/29/2017 12:00:00 AM,Sun,331,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/29/2017 12:00:00 AM,Sun,336,
KLUM PLACE W/O ALDERBURY DRIVE,01/29/2017 12:00:00 AM,Sun,394,
MOON VIEW DRIVE S/O ROYAL VIEW ROAD,01/29/2017 12:00:00 AM,Sun,534,
ALDERBURY DRIVE W/O BLANDFORD DRIVE,01/29/2017 12:00:00 AM,Sun,623,
GLENROSE AVENUE N/O PINE STREET,01/29/2017 12:00:00 AM,Sun,905,
ROYAL VIEW ROAD E/O COUNTRYWOOD AVENUE,01/29/2017 12:00:00 AM,Sun,1361,
ROYAL VIEW ROAD E/O MOON VIEW DRIVE,01/29/2017 12:00:00 AM,Sun,1484,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/30/2017 12:00:00 AM,Mon,662,
PINE EDGE DRIVE S/O VISTA ROAD,01/30/2017 12:00:00 AM,Mon,842,
FULLERTON ROAD W/O HARBOR BOULEVARD (N),01/30/2017 12:00:00 AM,Mon,1448,
AVOCADO CREST ROAD E/O HACIENDA ROAD,01/30/2017 12:00:00 AM,Mon,3838,
HACIENDA ROAD N/O AVOCADO CREST ROAD,01/30/2017 12:00:00 AM,Mon,21674,
HARBOR BOULEVARD S/O FULLERTON ROAD (N),01/30/2017 12:00:00 AM,Mon,37582,
FULLERTON ROAD N/O HARBOR BOULEVARD (N),01/30/2017 12:00:00 AM,Mon,39027,
GLENGARRY AVENUE S/O MINES BOULEVARD,01/31/2017 12:00:00 AM,Tue,1093,
TIGRINA AVENUE N/O IMPERIAL HIGHWAY,01/31/2017 12:00:00 AM,Tue,1529,
ARROYO DRIVE S/O MYSTIC STREET,01/31/2017 12:00:00 AM,Tue,1617,
