MM/DD/YYYY,ID,YEAR,MONTH,DAY,SNOW,SNOW_FLAGS,PRCP,PRCP_FLAGS
2009-03-27,US1CASM0008,2009,03,27,0.0,__N,0.0,__N
2009-03-28,US1CASM0008,2009,03,28,0.0,__N,0.0,__N
2009-03-29,US1CASM0008,2009,03,29,0.0,__N,0.0,__N
2009-03-30,US1CASM0008,2009,03,30,0.0,__N,0.0,__N
2009-03-31,US1CASM0008,2009,03,31,0.0,__N,0.0,__N
2009-04-01,US1CASM0008,2009,04,1,0.0,__N,0.0,__N
2009-04-02,US1CASM0008,2009,04,2,0.0,__N,0.0,__N
2009-04-03,US1CASM0008,2009,04,3,0.0,__N,0.0,__N
2009-04-04,US1CASM0008,2009,04,4,0.0,__N,0.0,__N
2009-04-05,US1CASM0008,2009,04,5,0.0,__N,0.0,__N
2009-04-06,US1CASM0008,2009,04,6,0.0,__N,0.0,__N
2009-04-07,US1CASM0008,2009,04,7,0.0,__N,0.0,__N
2009-04-09,US1CASM0008,2009,04,9,0.0,__N,0.0,__N
2009-04-11,US1CASM0008,2009,04,11,0.0,__N,0.0,__N
2009-04-12,US1CASM0008,2009,04,12,0.0,__N,0.0,__N
2009-04-13,US1CASM0008,2009,04,13,0.0,__N,0.0,__N
2009-04-14,US1CASM0008,2009,04,14,0.0,__N,0.0,__N
2009-04-15,US1CASM0008,2009,04,15,0.0,__N,0.0,__N
2009-04-16,US1CASM0008,2009,04,16,0.0,__N,0.0,__N
2009-04-17,US1CASM0008,2009,04,17,0.0,__N,0.0,__N
2009-04-18,US1CASM0008,2009,04,18,0.0,__N,0.0,__N
2009-04-19,US1CASM0008,2009,04,19,0.0,__N,0.0,__N
2009-04-20,US1CASM0008,2009,04,20,0.0,__N,0.0,__N
2009-04-21,US1CASM0008,2009,04,21,0.0,__N,0.0,__N
2009-04-22,US1CASM0008,2009,04,22,0.0,__N,0.0,__N
2009-04-23,US1CASM0008,2009,04,23,0.0,__N,0.0,__N
2009-04-24,US1CASM0008,2009,04,24,0.0,__N,0.0,__N
2009-04-25,US1CASM0008,2009,04,25,0.0,__N,0.0,__N
2009-04-26,US1CASM0008,2009,04,26,0.0,__N,0.0,__N
2009-04-27,US1CASM0008,2009,04,27,0.0,__N,0.0,__N
2009-04-28,US1CASM0008,2009,04,28,0.0,__N,0.0,__N
2009-04-29,US1CASM0008,2009,04,29,0.0,__N,0.0,__N
2009-04-30,US1CASM0008,2009,04,30,0.0,__N,0.0,__N
2009-05-01,US1CASM0008,2009,05,1,0.0,__N,0.0,__N
2009-05-06,US1CASM0008,2009,05,6,0.0,__N,0.0,__N
2009-05-07,US1CASM0008,2009,05,7,0.0,__N,0.0,__N
2009-05-08,US1CASM0008,2009,05,8,0.0,__N,0.0,__N
2009-05-09,US1CASM0008,2009,05,9,0.0,__N,0.0,__N
2009-05-10,US1CASM0008,2009,05,10,0.0,__N,0.0,__N
2009-05-31,US1CASM0008,2009,05,31,0.0,__N,0.0,__N
2009-06-01,US1CASM0008,2009,06,1,0.0,__N,0.0,__N
2009-06-02,US1CASM0008,2009,06,2,0.0,__N,0.0,__N
2009-06-03,US1CASM0008,2009,06,3,0.0,__N,0.0,__N
2009-06-04,US1CASM0008,2009,06,4,0.0,__N,0.0,__N
2009-06-05,US1CASM0008,2009,06,5,0.0,__N,0.0,__N
2009-06-06,US1CASM0008,2009,06,6,0.0,__N,0.0,__N
2009-06-07,US1CASM0008,2009,06,7,0.0,__N,0.0,__N
2009-06-08,US1CASM0008,2009,06,8,0.0,__N,0.0,__N
2009-06-09,US1CASM0008,2009,06,9,0.0,__N,0.0,__N
2009-06-10,US1CASM0008,2009,06,10,0.0,__N,0.0,__N
2009-06-11,US1CASM0008,2009,06,11,0.0,__N,0.0,__N
2009-06-12,US1CASM0008,2009,06,12,0.0,__N,0.0,__N
2009-06-13,US1CASM0008,2009,06,13,0.0,__N,0.0,__N
2009-06-14,US1CASM0008,2009,06,14,0.0,__N,0.0,__N
2009-06-15,US1CASM0008,2009,06,15,0.0,__N,0.0,__N
2009-06-16,US1CASM0008,2009,06,16,0.0,__N,0.0,__N
2009-06-17,US1CASM0008,2009,06,17,0.0,__N,0.0,__N
2009-07-01,US1CASM0008,2009,07,1,0.0,__N,0.0,__N
2009-07-02,US1CASM0008,2009,07,2,0.0,__N,0.0,__N
2009-07-03,US1CASM0008,2009,07,3,0.0,__N,0.0,__N
2009-07-04,US1CASM0008,2009,07,4,0.0,__N,0.0,__N
2009-07-05,US1CASM0008,2009,07,5,0.0,__N,0.0,__N
2009-07-06,US1CASM0008,2009,07,6,0.0,__N,0.0,__N
2009-07-07,US1CASM0008,2009,07,7,0.0,__N,0.0,__N
2009-07-08,US1CASM0008,2009,07,8,0.0,__N,0.0,__N
2009-07-09,US1CASM0008,2009,07,9,0.0,__N,0.0,__N
2009-07-10,US1CASM0008,2009,07,10,0.0,__N,0.0,__N
2009-07-11,US1CASM0008,2009,07,11,0.0,__N,0.0,__N
2009-07-12,US1CASM0008,2009,07,12,0.0,__N,0.0,__N
2009-07-13,US1CASM0008,2009,07,13,0.0,__N,0.0,__N
2009-07-14,US1CASM0008,2009,07,14,0.0,__N,0.0,__N
