MM/DD/YYYY,ID,YEAR,MONTH,DAY,TOBS,TOBS_FLAGS,SNWD,SNWD_FLAGS,MDPR,MDPR_FLAGS,WT01,WT01_FLAGS,TMIN,TMIN_FLAGS,DAPR,DAPR_FLAGS,SNOW,SNOW_FLAGS,PRCP,PRCP_FLAGS,TMAX,TMAX_FLAGS,WT03,WT03_FLAGS
1958-12-09,USC00047767,1958,12,9,128.0,__0,0.0,__0,nan,nan,1.0,__0,nan,nan,nan,nan,0.0,__0,0.0,__0,nan,nan,nan,nan
1958-12-10,USC00047767,1958,12,10,172.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,211.0,__0,nan,nan
1958-12-11,USC00047767,1958,12,11,150.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,217.0,__0,nan,nan
1958-12-12,USC00047767,1958,12,12,150.0,__0,0.0,__0,nan,nan,nan,nan,94.0,__0,nan,nan,0.0,__0,0.0,__0,200.0,__0,nan,nan
1958-12-13,USC00047767,1958,12,13,172.0,__0,0.0,__0,nan,nan,nan,nan,83.0,__0,nan,nan,0.0,__0,0.0,__0,206.0,__0,nan,nan
1958-12-14,USC00047767,1958,12,14,133.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,206.0,__0,nan,nan
1958-12-15,USC00047767,1958,12,15,111.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,167.0,__0,nan,nan
1958-12-16,USC00047767,1958,12,16,128.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,144.0,__0,nan,nan
1958-12-17,USC00047767,1958,12,17,144.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,228.0,__0,nan,nan
1958-12-18,USC00047767,1958,12,18,144.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,206.0,__0,nan,nan
1958-12-19,USC00047767,1958,12,19,128.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,144.0,__0,nan,nan
1958-12-20,USC00047767,1958,12,20,139.0,__0,0.0,__0,nan,nan,nan,nan,94.0,__0,nan,nan,0.0,__0,3.0,__0,139.0,__0,nan,nan
1958-12-21,USC00047767,1958,12,21,117.0,__0,0.0,__0,nan,nan,nan,nan,111.0,__0,nan,nan,0.0,__0,137.0,__0,139.0,__0,nan,nan
1958-12-22,USC00047767,1958,12,22,117.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,167.0,__0,nan,nan
