MM/DD/YYYY,ID,YEAR,MONTH,DAY,TSUN,TSUN_FLAGS,WSF5,WSF5_FLAGS,WSFM,WSFM_FLAGS,TMAX,TMAX_FLAGS,WSFG,WSFG_FLAGS,ACMH,ACMH_FLAGS,PRCP,PRCP_FLAGS,WT16,WT16_FLAGS,WSF2,WSF2_FLAGS,SNOW,SNOW_FLAGS,SNWD,SNWD_FLAGS,THIC,THIC_FLAGS,WDFM,WDFM_FLAGS,WT07,WT07_FLAGS,WDF1,WDF1_FLAGS,WT03,WT03_FLAGS,ACSH,ACSH_FLAGS,WT18,WT18_FLAGS,WDF2,WDF2_FLAGS,WT02,WT02_FLAGS,WT14,WT14_FLAGS,FRGT,FRGT_FLAGS,WT09,WT09_FLAGS,TAVG,TAVG_FLAGS,WV20,WV20_FLAGS,WDF5,WDF5_FLAGS,FMTM,FMTM_FLAGS,WT11,WT11_FLAGS,PGTM,PGTM_FLAGS,WT08,WT08_FLAGS,WT04,WT04_FLAGS,WESD,WESD_FLAGS,WT05,WT05_FLAGS,WDFG,WDFG_FLAGS,WT13,WT13_FLAGS,WT21,WT21_FLAGS,AWND,AWND_FLAGS,WT10,WT10_FLAGS,WT01,WT01_FLAGS,WSF1,WSF1_FLAGS,WV03,WV03_FLAGS,TMIN,TMIN_FLAGS,WV01,WV01_FLAGS
1979-11-11,USW00023234,1979,11,11,930.0,__X,nan,nan,nan,nan,172.0,__0,62.0,__X,50.0,__X,0.0,__0,nan,nan,nan,nan,0.0,__0,0.0,__0,nan,nan,nan,nan,nan,nan,300.0,__X,nan,nan,40.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,612.0,__X,1.0,__X,nan,nan,nan,nan,nan,nan,180.0,W_X,nan,nan,nan,nan,nan,nan,nan,nan,1.0,__X,40.0,__X,nan,nan,89.0,__0,nan,nan
1979-11-26,USW00023234,1979,11,26,2706.0,_XX,nan,nan,nan,nan,133.0,__0,72.0,__X,30.0,__X,0.0,__0,nan,nan,nan,nan,0.0,__0,0.0,__0,nan,nan,nan,nan,nan,nan,280.0,__X,nan,nan,50.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,142.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,270.0,W_X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,58.0,__X,nan,nan,56.0,__0,nan,nan
1979-11-27,USW00023234,1979,11,27,2808.0,_XX,nan,nan,nan,nan,144.0,__0,77.0,__X,40.0,__X,0.0,__0,nan,nan,nan,nan,0.0,__0,0.0,__0,nan,nan,nan,nan,nan,nan,110.0,__X,nan,nan,60.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1736.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,45.0,W_X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,63.0,__X,nan,nan,44.0,__0,nan,nan
1983-12-02,USW00023234,1983,12,2,0.0,__X,nan,nan,nan,nan,156.0,__0,134.0,__X,40.0,__X,0.0,__0,nan,nan,nan,nan,0.0,__0,0.0,__0,nan,nan,nan,nan,nan,nan,280.0,__X,nan,nan,20.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1200.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,270.0,W_X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,112.0,__X,nan,nan,111.0,__0,nan,nan
1998-04-19,USW00023234,1998,04,19,0.0,__W,107.0,__Z,nan,nan,167.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,107.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,-178.0,_GW,nan,nan,250.0,__Z,1822.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,67.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,106.0,__0,nan,nan
1999-10-31,USW00023234,1999,10,31,0.0,__W,0.0,__W,nan,nan,244.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,63.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,270.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,172.0,__W,nan,nan,0.0,__W,1823.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,14.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,94.0,__0,nan,nan
2000-05-21,USW00023234,2000,05,21,0.0,__W,98.0,__X,nan,nan,333.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,89.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,270.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,244.0,__W,nan,nan,280.0,__X,1519.0,__X,nan,nan,1955.0,__W,1.0,__0,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,37.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,150.0,__0,nan,nan
2000-05-22,USW00023234,2000,05,22,0.0,__W,116.0,__X,nan,nan,272.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,107.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,280.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,211.0,__W,nan,nan,280.0,__X,1329.0,__X,nan,nan,1334.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,45.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,144.0,__0,nan,nan
2000-05-23,USW00023234,2000,05,23,0.0,__W,80.0,__X,nan,nan,311.0,__0,nan,nan,nan,nan,0.0,T_0,1.0,__0,72.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,280.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,239.0,__W,nan,nan,280.0,__X,1342.0,__X,nan,nan,1341.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,22.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,167.0,__0,nan,nan
2000-05-24,USW00023234,2000,05,24,0.0,__W,161.0,__X,nan,nan,239.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,130.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,240.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,183.0,__W,nan,nan,220.0,__X,1816.0,__X,nan,nan,1816.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,52.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,122.0,__0,nan,nan
